Cluster_number,MA_IDs_included,TF_names_included,Representative_MA_ID,n_members
58,MA0599.1;MA1522.1;MA0039.4;MA1959.1;MA0493.2;MA0685.2;MA0740.2;MA0742.2;MA1511.2;MA0493.3;MA0039.5;MA2517.1;MA2681.1,KLF5;MAZ;KLF4;KLF7;KLF1;SP4;KLF14;KLF12;KLF10;KLF1;KLF4;ZSCAN25;KLF8,MA2681.1,13
59,MA0006.1;MA0162.1;MA0472.2;MA0732.1;MA0733.1;MA0162.3;MA1650.1;MA0506.2;MA0162.5;MA0732.2;MA0733.2;MA1650.2;MA0506.3,Ahr::Arnt;Egr1;EGR2;EGR3;EGR4;EGR1;ZBTB14;Nrf1;EGR1;EGR3;EGR4;ZBTB14;Nrf1,MA0162.1,13
60,MA0469.1;MA0470.1;MA0471.1;MA0024.2;MA0758.1;MA0865.1;MA1122.1;MA0471.2;MA0865.2;MA0471.3;MA0865.3;MA1122.2;MA0748.3,E2F3;E2F4;E2F6;E2F1;E2F7;E2F8;TFDP1;E2F6;E2F8;E2F6;E2F8;TFDP1;YY2,MA0865.1,13
61,MA0052.1;MA0497.1;MA0052.2;MA0660.1;MA0052.3;MA0773.1;MA0052.4;MA1978.1;MA2124.1;MA0052.5;MA0497.2;MA0108.3;MA1978.2,MEF2A;MEF2C;MEF2A;MEF2B;MEF2A;MEF2D;MEF2A;ZNF354A;Hmga1;MEF2A;MEF2C;TBP;ZNF354A,MA0773.1,13
62,MA0681.1;MA0707.1;MA0713.1;MA0715.1;MA0884.1;MA0893.1;MA0912.1;MA0703.2;MA0681.2;MA0611.2;MA0884.2;MA0611.3;MA0681.3,Phox2b;MNX1;PHOX2A;PROP1;DUXA;GSX2;Hoxd3;LMX1B;PHOX2B;Dux;DUXA;Dux;PHOX2B,MA0681.1,13
63,MA0067.1;MA0603.1;MA0632.1;MA0636.1;MA0663.1;MA0464.2;MA1464.1;MA0871.2;MA1464.2;MA0603.2;MA0464.3;MA0664.2;MA2628.1,Pax2;Arntl;Tcfl5;BHLHE41;MLX;BHLHE40;ARNT2;TFEC;ARNT2;Arntl;BHLHE40;MLXIPL;HELT,MA0632.1,13
64,MA0018.1;MA0605.1;MA0638.1;MA0839.1;MA0844.1;MA1466.1;MA1474.1;MA1466.2;MA0638.2;MA0839.2;MA1474.2;MA1475.2;MA0844.2,CREB1;Atf3;CREB3;CREB3L1;XBP1;ATF6;CREB3L4;ATF6;CREB3;CREB3L1;CREB3L4;CREB3L4;XBP1,MA0638.1,13
65,MA0090.1;MA0090.2;MA0808.1;MA0809.1;MA1121.1;MA1600.1;MA0090.3;MA0809.2;MA0090.4;MA1121.2;MA0809.3;MA1600.2;MA2580.1,TEAD1;TEAD1;TEAD3;TEAD4;TEAD2;ZNF684;TEAD1;TEAD4;TEAD1;TEAD2;TEAD4;ZNF684;ZNF20,MA0809.2,13
66,MA0017.1;MA0114.1;MA0484.1;MA0114.2;MA0114.3;MA1494.1;MA1534.1;MA0114.4;MA0484.2;MA1494.2;MA0114.5;MA0484.3;MA1534.2,NR2F1;HNF4A;HNF4G;HNF4A;Hnf4a;HNF4A;NR1I3;HNF4A;HNF4G;HNF4A;HNF4A;HNF4G;NR1I3,MA1494.1,13
67,MA0499.1;MA1529.1;MA1934.1;MA1941.1;MA1945.1;MA1966.1;MA1967.1;MA1934.2;MA1941.2;MA1945.2;MA1529.2;MA1966.2;MA1967.2,Myod1;NHLH2;ERF::FIGLA;ETV2::FIGLA;ETV5::FIGLA;TFAP4::ETV1;TFAP4::FLI1;ERF::FIGLA;ETV2::FIGLA;ETV5::FIGLA;NHLH2;TFAP4::ETV1;TFAP4::FLI1,MA1967.1,13
